code,term
A98,"bệnh sốt xuất huyết do virus khác, không phân loại mục khác"
A99,bệnh sốt xuất huyết do virus không xác định
B00,bệnh do nhiễm virus herpes [herpes simplex]
B01,bệnh thủy đậu
B02,bệnh zona [herpes zoster] [bệnh giời leo]
B03,bệnh đậu mùa
B04,bệnh đậu mùa khỉ
B05,bệnh sởi
B06,bệnh rubella [sởi đức]
B07,bệnh mụn cóc do virus
B08,"nhiễm virus khác có biểu hiện tổn thương tại da và/hoặc niêm mạc, không phân loại mục khác"
B09,"nhiễm virus không xác định, có biểu hiện tổn thương tại da và/hoặc niêm mạc"
B15,bệnh viêm gan a cấp tính
B16,bệnh viêm gan b cấp tính
B17,bệnh viêm gan virus cấp tính khác
B18,bệnh viêm gan virus mạn tính
B19,bệnh viêm gan virus không xác định
B20,bệnh do virus gây suy giảm miễn dịch ở người [hiv] gây ra bệnh nhiễm trùng và/hoặc ký sinh trùng
B21,bệnh do virus suy giảm miễn dịch ở người [hiv] gây ra u ác tính
B22,bệnh do virus gây suy giảm miễn dịch ở người [hiv] gây ra bệnh xác định khác
B23,bệnh do virus gây suy giảm miễn dịch ở người [hiv] dẫn đến bệnh khác
B24,bệnh do virus gây suy giảm miễn dịch ở người [hiv] không xác định
B25,bệnh nhiễm virus đại bào [cytomegaloviru s-cmv]
B26,bệnh quai bị
B27,bệnh tăng bạch cầu đơn nhân nhiễm trùng
B30,bệnh viêm kết mạc do virus
B33,"bệnh nhiễm virus khác, không phân loại mục khác"
B34,nhiễm virus ở vị trí không xác định
B35,bệnh da do nấm sợi
B36,bệnh nhiễm nấm nông khác ở da
B37,bệnh do nấm candida
B38,bệnh nhiễm nấm coccidioides
B39,bệnh nhiễm nấm histoplasma
B40,bệnh do nhiễm nấm blastomyces
B41,bệnh do nhiễm nấm paracoccidioides
B42,bệnh do nhiễm nấm sporotrichum
B43,bệnh do nhiễm nấm chromoblastomy cosa [nấm màu] và/hoặc áp xe do phaeomyces
B44,bệnh nhiễm nấm aspergillus
B45,bệnh nhiễm nấm cryptococcus
B46,bệnh nhiễm nấm zygomycetes
B47,bệnh u bướu do nấm
B48,"bệnh nhiễm nấm khác, không phân loại mục khác"
B49,bệnh nhiễm nấm không xác định
B50,bệnh sốt rét do plasmodium falciparum
B51,bệnh sốt rét do plasmodium vivax
B52,bệnh sốt rét do plasmodium malariae
B53,bệnh sốt rét khác được khẳng định về ký sinh trùng học
B54,bệnh sốt rét không xác định
B55,bệnh do nhiễm leishmania
B56,bệnh do nhiễm trypanosoma châu phi [bệnh ngủ châu phi]
B57,bệnh chagas
B58,bệnh do nhiễm toxoplasma
B60,"bệnh do ký sinh trùng đơn bào khác, không phân loại mục khác"
B64,bệnh do nhiễm ký sinh trùng đơn bào không xác định
B65,bệnh nhiễm sán máng [bilharziasis]
B66,bệnh nhiễm sán lá khác
B67,bệnh nang sán [echinococcus]
B68,bệnh sán dây taenia
B69,bệnh nhiễm ấu trùng sán lợn [bệnh gạo lợn]
B70,bệnh nhiễm sán dây diphyllobothriu m và/hoặc bệnh sán nhái sparganum
B71,bệnh nhiễm sán dây khác
B72,bệnh nhiễm giun dracunculus [giun guinea]
B73,bệnh nhiễm giun chỉ onchocerca [mù sông]
B74,bệnh nhiễm giun chỉ bạch huyết [filariasis]
B75,bệnh nhiễm giun xoắn trichinella
B76,bệnh nhiễm giun móc
B77,bệnh nhiễm giun đũa
B78,bệnh nhiễm giun lươn strongyloides
B79,bệnh nhiễm giun tóc trichuris
B80,bệnh nhiễm giun kim enterobias
B81,"bệnh nhiễm giun khác ở đường ruột, không phân loại mục khác"
B82,bệnh nhiễm ký sinh trùng không xác định ở đường ruột
B83,bệnh nhiễm giun sán khác
B85,bệnh nhiễm chấy và/hoặc rận
B86,bệnh ghẻ
B87,bệnh giòi [dòi]
B88,bệnh nhiễm ký sinh trùng khác
B89,bệnh do ký sinh trùng không xác định
B90,di chứng của bệnh lao
B91,di chứng của bệnh bại liệt
B92,di chứng của bệnh phong
B94,di chứng của bệnh nhiễm trùng và/hoặc ký sinh trùng khác và/hoặc không xác định
B95,liên cầu khuẩn và/hoặc tụ cầu khuẩn là nguyên nhân gây bệnh phân loại ở chương khác
B96,tác nhân vi khuẩn xác định khác là nguyên nhân gây bệnh phân loại ở chương khác
B97,tác nhân virus là nguyên nhân gây bệnh phân loại ở chương khác
B98,tác nhân nhiễm trùng xác định khác là nguyên nhân gây bệnh phân loại ở chương khác
B99,bệnh truyền nhiễm khác và/hoặc không xác định
C00,u ác tính ở môi
C01,u ác tính ở gốc [rễ] lưỡi
C02,u ác tính ở phần khác và/hoặc không xác định của lưỡi
C03,u ác tính ở lợi [nướu răng]
C04,u ác tính ở sàn miệng
C05,u ác tính ở khẩu cái
C06,u ác tính ở phần khác và/hoặc không xác định của miệng
C07,u ác tính ở tuyến mang tai
C08,u ác tính ở tuyến nước bọt chính khác và/hoặc không xác định
C09,u ác tính ở amydan
C10,u ác tính ở miệng-hầu
C10,u ác tính ở miệng - hầu
C11,u ác tính ở mũi- hầu
C12,u ác tính ở xoang lê
C13,u ác tính ở hạ họng
C14,"u ác tính ở vị trí khác và/hoặc không rõ ràng ở môi, khoang miệng và/hoặc họng"
C15,u ác tính ở thực quản
C16,u ác tính ở dạ dày
C17,u ác tính ở ruột non
C18,u ác tính ở đại tràng
C19,u ác tính ở nơi nối trực tràng sigma
C20,u ác tính ở trực tràng
C21,u ác tính ở hậu môn và/hoặc ống hậu môn
C22,u ác tính ở gan và/hoặc đường mật trong gan
C23,u ác tính ở túi mật
C24,u ác tính ở phần khác và/hoặc phần không xác định của đường mật
C25,u ác tính ở tụy
C26,u ác tính ở cơ quan tiêu hóa khác và/hoặc không rõ ràng
C30,u ác tính ở khoang mũi và/hoặc tai giữa
C31,u ác tính ở xoang phụ
C32,u ác tính ở thanh quản
C33,u ác tính ở khí quản
C34,u ác tính ở phế quản và/hoặc phổi
C37,u ác tính ở tuyến ức
C38,"u ác tính ở tim, trung thất và/hoặc màng phổi"
C39,u ác tính ở những vị trí khác và/hoặc không rõ ràng của hệ hô hấp và/hoặc cơ quan trong khoang ngực
C40,u ác tính ở xương và/hoặc sụn khớp của các chi
C41,u ác tính ở vị trí khác và/hoặc không xác định ở xương và/hoặc sụn khớp
C43,u hắc tố ác tính ở da
C44,u tân sinh ác tính khác ở da
C45,u trung biểu mô
C46,ung thư [sarcoma] kaposi
C47,u ác tính ở dây thần kinh ngoại biên và/hoặc hệ thần kinh tự động
C48,u ác tính ở vùng sau phúc mạc và/hoặc phúc mạc
C49,u ác tính ở mô liên kết và/hoặc mô mềm khác
C50,u ác tính ở vú
C51,u ác tính ở âm hộ
C52,u ác tính ở âm đạo
C53,u ác tính ở cổ tử cung
C54,u ác tính ở thân tử cung
C55,"u ác tính ở tử cung, phần không xác định"
C56,u ác tính ở buồng trứng
C57,u ác tính ở cơ quan sinh dục khác và/hoặc không xác định ở nữ giới
C58,u ác tính ở rau thai [nhau thai]
C60,u ác tính ở dương vật
C61,u ác tính ở tuyến tiền liệt
C62,u ác tính ở tinh hoàn
C63,u ác tính ở cơ quan sinh dục khác và/hoặc không xác định ở nam giới
C64,"u ác tính ở thận, ngoại trừ bể thận"
C65,u ác tính ở bể thận
C66,u ác tính ở niệu quản
C67,u ác tính ở bàng quang
C68,u ác tính ở cơ quan tiết niệu khác và/hoặc không xác định
C69,u ác tính ở mắt và/hoặc cấu trúc phụ cận của mắt
C70,u ác tính ở màng não tủy
C71,u ác tính ở não
C72,"u ác tính ở tủy sống, dây thần kinh sọ và/hoặc phần khác của hệ thần kinh trung ương"
C73,u ác tính ở tuyến giáp
C74,u ác tính ở tuyến thượng thận
C75,u ác tính ở tuyến nội tiết khác và/hoặc cấu trúc liên quan
C76,u ác tính ở vị trí khác và/hoặc không rõ ràng
C77,u ác tính thứ phát và/hoặc không xác định ở hạch lympho
C78,u ác tính thứ phát ở cơ quan hô hấp và/hoặc cơ quan tiêu hóa
C79,u ác tính thứ phát ở vị trí khác và/hoặc không xác định
C80,"u ác tính, vị trí không xác định"
C82,u lympho thể nang
C83,u lympho không phải thể nang
C84,u lympho tế bào t/nk trưởng thành
C84.1,sézary disease
C85,u lympho không hodgkin loại khác và/hoặc không xác định
C86,các loại u lympho tế bào t/nk xác định khác
C88,bệnh tăng sinh miễn dịch ác tính
C88.0,waldenström macroglobulinaemi a
C90,đa u tủy xương và/hoặc u tương bào ác tính
C91,bệnh bạch cầu dòng lympho
C92,dòng tủy
C93,bệnh bạch cầu dòng đơn nhân [mono]
C94,bệnh bạch cầu khác ở dòng tế bào xác định
C95,bệnh bạch cầu ở loại tế bào không xác định
C96,"u ác tính khác và/hoặc không xác định ở mô hệ lympho, cơ quan tạo máu và/hoặc mô liên quan"
C97,u ác tính ở nhiều vị trí độc lập (nguyên phát)
D00,"ung thư biểu mô tại chỗ ở khoang miệng, thực quản và/hoặc dạ dày"
D01,ung thư biểu mô tại chỗ ở cơ quan tiêu hóa khác và/hoặc không xác định
D02,ung thư biểu mô tại chỗ ở tai giữa và/hoặc hệ hô hấp
D03,ung thư tế bào hắc tố tại chỗ
D04,ung thư biểu mô tại chỗ ở da
D05,ung thư biểu mô tại chỗ ở vú
D06,ung thư biểu mô tại chỗ ở cổ tử cung
D07,ung thư biểu mô tại chỗ ở cơ quan sinh dục khác và/hoặc không xác định
D07,ung thư biểu mô tại chỗ khác và/hoặc không xác định ở cơ quan sinh dục
D09,ung thư biểu mô tại chỗ ở vị trí khác và/hoặc không xác định
D10,u lành ở miệng và/hoặc họng
D11,u lành ở tuyến nước bọt chính
D12,"u lành ở đại tràng, trực tràng, hậu môn và/hoặc ống hậu môn"
D13,u lành ở phần khác và/hoặc không rõ ràng ở hệ tiêu hóa
D14,u lành ở tai giữa và/hoặc hệ hô hấp
D15,u lành ở cơ quan khác và/hoặc không xác định trong khoang ngực
D16,u lành ở xương và/hoặc sụn khớp
D17,u mỡ lành tính
D18,"u máu và/hoặc u bạch huyết, vị trí bất kỳ"
D19,u lành trung biểu mô
D20,u lành mô mềm ở vùng sau phúc mạc và/hoặc phúc mạc
D21,u lành khác ở mô liên kết và/hoặc mô mềm khác
D22,nơ vi [nevi] tế bào melanin [nốt ruồi]
D23,u lành khác ở da
D24,u lành ở vú
D25,u cơ trơn tử cung
D26,u lành khác ở tử cung
D27,u lành ở buồng trứng
D28,u lành ở cơ quan sinh dục nữ khác và/hoặc không xác định
D29,u lành ở cơ quan sinh dục nam
D30,u lành ở cơ quan tiết niệu
D31,u lành ở mắt và/hoặc cấu trúc phụ cận của mắt
D32,u lành ở màng não
D33,u lành ở não và/hoặc phần khác của hệ thần kinh trung ương
D34,u lành ở tuyến giáp
D35,u lành ở tuyến nội tiết khác và/hoặc không xác định
D36,u lành ở vị trí khác và/hoặc không xác định
D37,u tân sinh không tiên lượng được tiến triển và tính chất ở khoang miệng và/hoặc cơ quan tiêu hóa
D38,"u tân sinh không tiên lượng được tiến triển và tính chất ở tai giữa, cơ quan hô hấp và/hoặc cơ quan trong khoang ngực"
D39,u tân sinh không tiên lượng được tiến triển và tính chất ở cơ quan sinh dục nữ
D40,u tân sinh không tiên lượng được tiến triển và tính chất ở cơ quan sinh dục nam
D41,u tân sinh không tiên lượng được tiến triển và tính chất ở cơ quan tiết niệu
D42,u tân sinh không tiên lượng được tiến triển và tính chất ở màng não tủy
D43,u tân sinh không tiên lượng được tiến triển và tính chất ở não và/hoặc hệ thần kinh trung ương
D44,u tân sinh không tiên lượng được tiến triển và tính chất ở tuyến nội tiết
D45,đa hồng cầu
D46,hội chứng loạn sản tủy xương
D47,"u tân sinh khác không tiên lượng được tiến triển và tính chất ở mô hệ lympho, cơ quan tạo máu và/hoặc mô liên quan"
D48,u tân sinh không tiên lượng được tiến triển và tính chất ở vị trí khác và/hoặc không xác định
D50,thiếu máu do thiếu sắt
D51,thiếu máu do thiếu vitamin b12
D52,thiếu máu do thiếu folate
D53,thiếu máu do thiếu dinh dưỡng khác
D55,thiếu máu do rối loạn men
D56,bệnh thalassaemia [tan máu bẩm sinh]
D57,rối loạn hồng cầu hình liềm
D58,thiếu máu tan máu di truyền khác
D59,thiếu máu tan máu mắc phải
D60,suy tủy xương [bất sản hồng cầu] đơn thuần mắc phải [giảm nguyên hồng cầu]
D61,thể suy tủy xương [thiếu máu bất sản] khác
D62,thiếu máu sau chảy máu cấp tính
D63,thiếu máu do bệnh mạn tính phân loại mục khác
D64,bệnh thiếu máu khác
D65,đông máu rải rác nội mạch [hội chứng tiêu sợi huyết]
D66,thiếu hụt yếu tố viii di truyền
D67,thiếu hụt yếu tố ix di truyền
D68,rối loạn đông máu khác
D69,ban xuất huyết và/hoặc tình trạng xuất huyết khác
D70,bệnh mất bạch cầu hạt
D71,rối loạn chức năng bạch cầu đa nhân trung tính
D72,rối loạn khác của bạch cầu
D73,bệnh lý lách
D74,bệnh mất sắc tố máu [methaemoglobi naemia]
D75,bệnh khác của máu và/hoặc cơ quan tạo máu
D76,bệnh xác định khác liên quan mô hệ bạch huyết và/hoặc mô bào lưới
D76,"excl.: (abt-)letterer-siwe disease (c96.0) eosinophilic granuloma (c96.6) hand-schüller- christian disease (c96.5) histiocytic sarcoma (c96.8) histiocytosis x, multifocal (c96.5) histiocytosis x, unifocal (c96.6) langerhans-cell histiocytosis, multifocal (c96.5) langerhans-cell histiocytosis, unifocal (c96.6) malignant histiocytosis (c96.8) reticuloendotheliosis: leukaemic (c91.4) nonlipid (c96.0) reticulosis: histiocytic medullary (c96.8) lipomelanotic (i89.8) malignant nos (c86.0)"
D77,rối loạn khác ở máu và/hoặc cơ quan tạo máu do bệnh phân loại mục khác
D80,suy giảm miễn dịch chủ yếu do bất thường kháng thể
D81,suy giảm miễn dịch kết hợp
D82,suy giảm miễn dịch liên quan đến bất thường nghiêm trọng khác
D83,suy giảm miễn dịch biến thiên phổ biến
D84,suy giảm miễn dịch khác
D86,bệnh u hạt
D89,"rối loạn khác liên quan cơ chế miễn dịch, không phân loại mục khác"
E00,hội chứng thiếu iod bẩm sinh
E01,rối loạn tuyến giáp liên quan đến thiếu iod và/hoặc bệnh phối hợp
E02,suy tuyến giáp do thiếu iod dưới lâm sàng
E03,suy tuyến giáp khác
E04,bướu tuyến giáp không độc khác
E05,nhiễm độc tuyến giáp [cường giáp]
E06,viêm tuyến giáp
E07,rối loạn khác của tuyến giáp
E10,bệnh đái tháo đường típ 1
E11,bệnh đái tháo đường típ 2
E12,bệnh đái tháo đường liên quan đến suy dinh dưỡng
E13,bệnh đái tháo đường xác định khác
E14,đái tháo đường không xác định
E15,hôn mê hạ đường huyết không do đái tháo đường
E16,rối loạn khác của tuyến tụy nội tiết
E20,suy cận giáp
E21,cường cận giáp và/hoặc rối loạn khác của tuyến cận giáp
E22,tăng cường chức năng tuyến yên
E23,suy chức năng và/hoặc rối loạn khác của tuyến yên
E24,hội chứng cushing
E25,rối loạn thượng thận- sinh dục
E26,cường aldosterone
E27,rối loạn khác của tuyến thượng thận
E28,rối loạn chức năng buồng trứng
E29,rối loạn chức năng tinh hoàn
E30,"rối loạn tuổi dậy thì, không phân loại mục khác"
E31,rối loạn chức năng đa tuyến
E32,diseases of thymus bệnh tuyến ức
E34,rối loạn nội tiết khác
E35,rối loạn tuyến nội tiết do bệnh phân loại mục khác
E40,suy dinh dưỡng thể phù kwashiorkor
E41,suy dinh dưỡng thể teo đét [marasmus]
E42,suy dinh dưỡng thể hỗn hợp marasmus - kwashiorkor
E43,"suy dinh dưỡng nặng do thiếu protein - năng lượng, không xác định"
E44,suy dinh dưỡng vừa và/hoặc nhẹ do thiếu protein - năng lượng
E45,chậm phát triển sau suy dinh dưỡng do thiếu protein - năng lượng
E46,suy dinh dưỡng do thiếu protein-năng lượng không xác định
E50,thiếu vitamin a
E51,thiếu thiamine
E52,thiếu niacin [bệnh pellagra]
E53,thiếu vitamin nhóm b khác
E54,thiếu acid ascorbic
E55,thiếu vitamin d
E56,thiếu vitamin khác
E58,thiếu calci do chế độ ăn
E59,thiếu selen do chế độ ăn
E60,thiếu kẽm do chế độ ăn
E61,thiếu yếu tố dinh dưỡng khác
E63,thiếu dinh dưỡng khác
E64,di chứng của suy dinh dưỡng và/hoặc thiếu hụt dinh dưỡng khác
E65,bệnh béo phì khu trú
E66,bệnh béo phì
E67,tình trạng thừa dinh dưỡng khác
E68,di chứng của thừa dinh dưỡng
E70,rối loạn chuyển hóa acid amin thơm
E71,rối loạn chuyển hóa acid amin chuỗi nhánh và/hoặc rối loạn chuyển hóa acid béo
E72,rối loạn khác của chuyển hóa acid amin
E73,lactose intolerance không dung nạp lactose
E74,rối loạn khác của chuyển hóa carbohydrat
E75,rối loạn chuyển hóa sphingolipid và/hoặc rối loạn tích lũy lipid
E76,rối loạn chuyển hóa glycosaminoglyc an
E77,rối loạn chuyển hóa glycoprotein
E78,rối loạn chuyển hóa lipoprotein và/hoặc tình trạng tăng lipid máu khác
E79,rối loạn chuyển hóa purine và/hoặc pyrimidine
E80,rối loạn chuyển hóa porphyrin và/hoặc bilirubin
E83,rối loạn chuyển hóa chất khoáng
E84,xơ nang
E85,thoái hóa tinh bột
E86,giảm thể tích
E87,"rối loạn cân bằng nước, điện giải và/hoặc thăng bằng kiềm toan"
E88,rối loạn chuyển hóa khác
E89,"rối loạn nội tiết và/hoặc chuyển hóa sau can thiệp, không phân loại mục khác"
E90,rối loạn chuyển hóa và/hoặc dinh dưỡng do bệnh phân loại mục khác
F00,sa sút trí tuệ do bệnh alzheimer (g30.- )
F01,sa sút trí tuệ do bệnh mạch máu
F02,sa sút trí tuệ do bệnh khác đã phân loại mục khác
F03,sa sút trí tuệ không xác định
F04,"hội chứng quên thực tổn, không do rượu và/hoặc chất hướng thần khác"
F05,"mê sảng, không do rượu và/hoặc chất hướng thần khác"
F06,rối loạn tâm thần khác do tổn thương và/hoặc rối loạn chức năng não và/hoặc do bệnh thực thể
F07,"rối loạn nhân cách và/hoặc hành vi do bệnh lý, tổn thương và/hoặc rối loạn chức năng não"
F09,rối loạn tâm thần thực tổn hoặc rối loạn tâm thần có triệu chứng không xác định
F10,rối loạn tâm thần và/hoặc hành vi do sử dụng rượu
F11,rối loạn tâm thần và/hoặc hành vi do sử dụng chất dạng thuốc phiện
F12,rối loạn tâm thần và/hoặc hành vi do sử dụng cần sa
F13,rối loạn tâm thần và/hoặc hành vi do sử dụng chất an thần hoặc thuốc ngủ
F14,rối loạn tâm thần và/hoặc hành vi do sử dụng cocain
F15,"rối loạn tâm thần và/hoặc hành vi do sử dụng chất kích thích khác, bao gồm cả caffein"
F16,rối loạn tâm thần và/hoặc hành vi do sử dụng chất gây ảo giác
F17,rối loạn tâm thần và/hoặc hành vi do sử dụng thuốc lá
F18,rối loạn tâm thần và/hoặc hành vi do sử dụng dung môi dễ bay hơi
F19,rối loạn tâm thần và/hoặc hành vi do sử dụng nhiều chất ma túy và/hoặc chất hướng thần khác
F20,tâm thần phân liệt
F21,rối loạn dạng phân liệt
F22,rối loạn hoang tưởng dai dẳng
F23,loạn thần cấp tính và/hoặc ngắn hạn
F24,rối loạn hoang tưởng cảm ứng
F24,a delusional disorder shared by two or more people with close emotional links. only one of the people suffers from a genuine psychotic disorder; the delusions are induced in the other(s) and usually disappear when the people are separated. incl.: folie à deux induced: paranoid disorder psychotic disorder
F25,loạn thần dạng rối loạn khí sắc
F28,loạn thần không thực tổn khác
F29,loạn thần không thực tổn không xác định
F30,giai đoạn hưng cảm
F31,rối loạn cảm xúc lưỡng cực
F32,depressive episode giai đoạn trầm
F33,rối loạn trầm cảm tái phát
F34,rối loạn khí sắc [cảm xúc] dai dẳng
F38,rối loạn khí sắc [cảm xúc] khác
F39,rối loạn khí sắc [cảm xúc] không xác định
F40,rối loạn lo âu ám ảnh sợ
F41,rối loạn lo âu khác
F42,rối loạn ám ảnh cưỡng chế
F43,phản ứng với căng thẳng trầm trọng và/hoặc rối loạn điều chỉnh
F44,rối loạn phân ly [chuyển dạng]
F45,rối loạn dạng cơ thể
F48,rối loạn tâm căn khác
F50,rối loạn ăn uống
F51,rối loạn giấc ngủ không thực tổn
F52,"rối loạn chức năng tình dục, không do rối loạn thực tổn hoặc bệnh lý"
F53,"rối loạn tâm thần và/hoặc hành vi liên quan thời kỳ sau đẻ, không phân loại mục khác"
F54,nhân tố tâm lý và/hoặc hành vi kết hợp với rối loạn hoặc bệnh phân loại mục khác
F55,lạm dụng chất không gây nghiện
F59,hội chứng hành vi ứng xử không xác định kết hợp với rối loạn sinh lý và/hoặc yếu tố thực thể
F60,rối loạn nhân cách xác định cụ thể
F61,rối loạn nhân cách khác và/hoặc rối loạn nhân cách hỗn hợp
F62,"thay đổi nhân cách kéo dài, không thể quy cho một tổn thương hoặc bệnh não"
F62,"biến đổi nhân cách kéo dài, không thể quy cho một tổn thương hay bệnh não"
F63,rối loạn thói quen và/hoặc xung động
F64,rối loạn nhận dạng giới tính
F65,rối loạn sở thích tình dục
F66,rối loạn tâm lý và/hoặc hành vi kết hợp với sự phát triển và/hoặc khuynh hướng tình dục
F68,rối loạn khác về nhân cách và/hoặc hành vi ở người trưởng thành
F69,rối loạn không xác định về nhân cách và/hoặc hành vi ở người trưởng thành
F70,chậm phát triển trí tuệ nhẹ
F71,chậm phát triển trí tuệ trung bình
F72,chậm phát triển trí tuệ nặng
F73,chậm phát triển trí tuệ trầm trọng
F78,chậm phát triển trí tuệ khác
F79,chậm phát triển trí tuệ không xác định
F80,rối loạn cụ thể về phát triển lời nói và/hoặc ngôn ngữ
F81,rối loạn cụ thể về phát triển kỹ năng học đường
F82,rối loạn cụ thể của phát triển chức năng vận động
F83,rối loạn cụ thể hỗn hợp của sự phát triển
F84,rối loạn lan tỏa sự phát triển
F88,rối loạn khác của phát triển tâm lý
F89,rối loạn không xác định của phát triển tâm lý
F90,rối loạn tăng động
F91,rối loạn ứng xử
F92,rối loạn hỗn hợp về ứng xử và/hoặc cảm xúc
F93,rối loạn cảm xúc có sự khởi phát đặc trưng ở trẻ em
F94,rối loạn hoạt động xã hội khởi phát đặc trưng ở tuổi trẻ em và/hoặc thanh thiếu niên
F95,rối loạn tic [tật máy cơ]
F98,rối loạn tác phong và/hoặc cảm xúc khác thường khởi phát ở trẻ em và/hoặc thanh thiếu niên
F99,"rối loạn tâm thần, không xác định khác"
G00,"bệnh viêm màng não vi khuẩn, không phân loại mục khác"
G01,bệnh viêm màng não do bệnh nhiễm khuẩn phân loại mục khác
G02,bệnh viêm màng não do bệnh nhiễm trùng và/hoặc ký sinh trùng phân loại mục khác
G03,bệnh viêm màng não do nguyên nhân khác và/hoặc không xác định
G04,"bệnh viêm não, viêm tủy và/hoặc viêm não-tủy"
G05,"viêm não, viêm tủy và/hoặc viêm não-tủy do bệnh phân loại mục khác"
G06,áp xe và/hoặc u hạt nội sọ và/hoặc nội tủy
G07,áp xe và/hoặc u hạt nội sọ và/hoặc nội tủy do bệnh phân loại mục khác
G08,viêm tĩnh mạch và/hoặc viêm [tắc] tĩnh mạch huyết khối nội sọ và/hoặc nội tủy
G09,di chứng của bệnh viêm hệ thần kinh trung ương
G10,huntington disease bệnh
G11,mất điều hòa vận động [thất điều] di truyền
G12,bệnh teo cơ do tổn thương tủy sống và/hoặc hội chứng liên quan
G13,bệnh teo hệ thống ảnh hưởng chủ yếu tới hệ thần kinh trung ương do bệnh phân loại mục khác
G14,hội chứng sau bại liệt
G20,bệnh parkinson
G21,hội chứng parkinson thứ phát
G22,hội chứng parkinson do bệnh phân loại mục khác
G23,bệnh thoái hóa khác của hạch nền não
G24,loạn trương lực cơ
G25,hội chứng ngoại tháp và/hoặc rối loạn vận động khác
G26,hội chứng ngoại tháp và/hoặc rối loạn vận động do bệnh phân loại mục khác
G30,bệnh alzheimer
G31,"bệnh thoái hóa khác của hệ thần kinh, không phân loại mục khác"
G32,rối loạn thoái hóa khác của hệ thần kinh do bệnh phân loại mục khác
G35,bệnh đa xơ cứng
